iter	MultiClass
0	1.498462788
1	1.416440137
2	1.355578858
3	1.310700695
4	1.277976694
5	1.247989697
6	1.2269895
7	1.203745665
8	1.185505905
9	1.16906863
10	1.155372359
11	1.14092501
12	1.131934908
13	1.121301853
14	1.111636921
15	1.105008355
16	1.096999349
17	1.09046113
18	1.084529856
19	1.078504358
20	1.072697464
21	1.068693941
22	1.063372935
23	1.058761635
24	1.055321358
25	1.051503526
26	1.048599974
27	1.045120644
28	1.039993112
29	1.037900576
30	1.035793752
31	1.033351484
32	1.030175921
33	1.027257852
34	1.024419988
35	1.02220959
36	1.019887843
37	1.017690613
38	1.015941498
39	1.013850588
40	1.011078602
41	1.008545269
42	1.007075043
43	1.005383196
44	1.003284581
45	1.001711391
46	1.000255981
47	0.9984106046
48	0.9967026987
49	0.9957537733
50	0.9943184298
51	0.9923967334
52	0.9910534714
53	0.9895366411
54	0.988506017
55	0.9863252001
56	0.9849220693
57	0.9836290234
58	0.981238947
59	0.9802049617
60	0.9786499948
61	0.9774607972
62	0.9757385766
63	0.9743320409
64	0.9722752773
65	0.971051259
66	0.9701054004
67	0.9691419865
68	0.9680328042
69	0.9671512385
70	0.9662494023
71	0.9647245734
72	0.9635736134
73	0.9627526323
74	0.9613361131
75	0.9602418548
76	0.9594300167
77	0.9583394067
78	0.9573153305
79	0.955890064
80	0.9550451908
81	0.9540479303
82	0.9533267971
83	0.9521603195
84	0.950979339
85	0.9501252773
86	0.9490338201
87	0.9481245414
88	0.9473442709
89	0.9465611149
90	0.945650703
91	0.9446635565
92	0.943708101
93	0.9429110796
94	0.9419316437
95	0.9407944502
96	0.9400255396
97	0.939501445
98	0.9384138608
99	0.9375734653
100	0.9366393709
101	0.9354792701
102	0.9345569418
103	0.9335842292
104	0.9326988369
105	0.9316818719
106	0.9306910012
107	0.9300209999
108	0.9291392379
109	0.928327312
110	0.927249587
111	0.9263676804
112	0.9248991067
113	0.9241013947
114	0.9232017232
115	0.9221755443
116	0.9216473065
117	0.9208902671
118	0.9199603759
119	0.9192078927
120	0.9186692354
121	0.9180041435
122	0.917428234
123	0.9167673009
124	0.9159779222
125	0.9153256294
126	0.9140330205
127	0.9133170348
128	0.9125669434
129	0.9117968036
130	0.9109601609
131	0.9099842261
132	0.9095457894
133	0.9085640912
134	0.9081529377
135	0.9074186838
136	0.906416079
137	0.9056843519
138	0.9050290416
139	0.9045056695
140	0.9041513202
141	0.9037662587
142	0.9034499351
143	0.9027254808
144	0.9021007858
145	0.9015958892
146	0.9006446329
147	0.9003789107
148	0.8999236031
149	0.899320472
150	0.898796156
151	0.8984255352
152	0.8978571244
153	0.8972521165
154	0.8965963476
155	0.8959464809
156	0.8955532859
157	0.8951419312
158	0.8945583089
159	0.8939806167
160	0.8935365537
161	0.8930072503
162	0.892713525
163	0.8922585516
164	0.8916009872
165	0.8908850158
166	0.8898592359
167	0.8893677655
168	0.8887251831
169	0.8877788582
170	0.8872856589
171	0.886511132
172	0.8857836566
173	0.8853120881
174	0.8848828878
175	0.8843552337
176	0.883726462
177	0.8831408642
178	0.8827208427
179	0.8823190398
180	0.8817509007
181	0.8814021455
182	0.881016721
183	0.880518757
184	0.8799652074
185	0.8797370105
186	0.8790260735
187	0.8785040669
188	0.8780293879
189	0.8776710817
190	0.8773620346
191	0.8768422984
192	0.8765472027
193	0.8760101503
194	0.8757928248
195	0.8756910024
196	0.8754592801
197	0.8750813572
198	0.8746309609
199	0.8739812827
200	0.8732483431
201	0.8727710072
202	0.8724014948
203	0.8719126191
204	0.8713126967
205	0.8709878402
206	0.8705109566
207	0.8703206252
208	0.8697353156
209	0.869291306
210	0.8690025832
211	0.8687126016
212	0.8683422461
213	0.8678746526
214	0.867657006
215	0.8672480535
216	0.8665421161
217	0.8661259772
218	0.8659119308
219	0.8657734123
220	0.8655142445
221	0.8653124578
222	0.8650351061
223	0.8648669686
224	0.8643922153
225	0.8641996551
226	0.8637414875
227	0.8631901939
228	0.8627743747
229	0.8624342999
230	0.8621115396
231	0.8617641413
232	0.8613950604
233	0.8610247786
234	0.8607398173
235	0.8606361469
236	0.8602948699
237	0.8598017159
238	0.8596650032
239	0.8592983565
240	0.8588808653
241	0.8587433714
242	0.8585477764
243	0.8582841734
244	0.8580982866
245	0.8577802515
246	0.8575028737
247	0.8570918858
248	0.856762966
249	0.8565295882
250	0.8563545081
251	0.8561361058
252	0.855837948
253	0.8553597121
254	0.8548432095
255	0.8541637002
256	0.8540003317
257	0.8538071159
258	0.8535297869
259	0.8532825294
260	0.8528573173
261	0.8525514895
262	0.8517950012
263	0.8515475003
264	0.851151024
265	0.8507589431
266	0.8505152226
