iter	Passed	Remaining
0	1563	1562239
1	3049	1521680
2	4689	1558396
3	6236	1552895
4	7687	1529818
5	9120	1510972
6	10626	1507405
7	12092	1499488
8	13677	1506003
9	15181	1502980
10	16585	1491186
11	17995	1481665
12	19420	1474477
13	20901	1472042
14	22387	1470121
15	23868	1467941
16	25398	1468640
17	26979	1471854
18	28505	1471758
19	30011	1470555
20	31543	1470541
21	32956	1465084
22	34473	1464363
23	36050	1466039
24	37504	1462656
25	39041	1462557
26	40591	1462783
27	42151	1463272
28	44023	1474013
29	45951	1485769
30	47657	1489686
31	49411	1494688
32	50938	1492657
33	52481	1491086
34	53931	1486980
35	55338	1481850
36	56798	1478294
37	58379	1477919
38	60134	1481787
39	62030	1488733
40	63730	1490673
41	65413	1492041
42	67481	1501850
43	69731	1515065
44	71553	1518532
45	73318	1520552
46	74865	1518026
47	76482	1516899
48	78307	1519802
49	79778	1515784
50	81322	1513230
51	82790	1509326
52	84259	1505538
53	85734	1501936
54	87252	1499156
55	88699	1495228
56	90438	1496204
57	92005	1494288
58	93431	1490153
59	94971	1487889
60	96477	1485116
61	98160	1485074
62	100068	1488324
63	102199	1494665
64	104138	1497986
65	105649	1495094
66	107165	1492320
67	109041	1494510
68	110855	1495744
69	112454	1494042
70	114053	1492327
71	115628	1490317
72	117176	1487981
73	118837	1487070
74	120678	1488367
75	122608	1490661
76	124583	1493389
77	126728	1497993
78	128742	1500907
79	130719	1503275
80	132377	1501908
81	134429	1504954
82	136590	1509082
83	138586	1511250
84	140324	1510546
85	141918	1508301
86	143555	1506508
87	145113	1503907
88	146509	1499664
89	148011	1496559
90	149430	1492658
91	150931	1489631
92	152492	1487210
93	154043	1484718
94	155632	1482602
95	157177	1480086
96	159013	1480304
97	160480	1477075
98	162073	1475035
99	163477	1471295
100	165123	1469760
101	166530	1466121
102	168168	1464532
103	169629	1461424
104	171121	1458608
105	172751	1456978
106	174218	1453988
107	175867	1452532
108	177684	1452447
109	179424	1451706
110	180961	1449321
111	182709	1448623
112	184305	1446718
113	185719	1443402
114	187125	1440054
115	188585	1437150
116	190063	1434408
117	191408	1430700
118	192845	1427706
119	194185	1424027
120	195520	1420351
121	196962	1417480
122	198327	1414089
123	199709	1410852
124	201155	1408087
125	202580	1405204
126	204083	1402873
127	205434	1399521
128	206815	1396407
129	208150	1393008
130	209480	1389607
131	211032	1387699
132	212455	1384955
133	213940	1382627
134	215499	1380790
135	217059	1378964
136	218661	1377408
137	220197	1375435
138	221682	1373158
139	223185	1370997
140	224629	1368490
141	226252	1367073
142	227716	1364706
143	229016	1361375
144	230494	1359120
145	231871	1356288
146	233210	1353254
147	234600	1350539
148	235927	1347479
149	237207	1344174
150	238573	1341381
151	239903	1338409
152	241292	1335780
153	242657	1333042
154	243952	1329933
155	245325	1327275
156	246750	1324909
157	248147	1322403
158	249532	1319853
159	250895	1317201
160	252256	1314554
161	253595	1311811
162	255051	1309683
163	256504	1307544
164	257888	1305069
165	259304	1302771
166	260743	1300595
167	262281	1298918
168	263870	1297495
169	265374	1295652
170	266779	1293332
171	268126	1290748
172	269764	1289568
173	271278	1287794
174	272752	1285833
175	274276	1284112
176	275850	1282626
177	277298	1280559
178	278756	1278541
179	280168	1276321
180	281558	1274013
181	283039	1272123
182	284702	1271051
183	286201	1269240
184	287719	1267519
185	289240	1265815
186	290765	1264131
187	292283	1262417
188	293833	1260841
189	295351	1259130
190	296926	1257661
191	298540	1256358
192	300298	1255652
193	302132	1255251
194	304048	1255174
195	305609	1253624
196	307692	1254199
197	309452	1253440
198	311032	1251943
199	312636	1250547
200	314341	1249545
201	316043	1248527
202	317848	1247906
203	319484	1246617
204	321162	1245483
205	322889	1244535
206	324737	1244041
207	326228	1242177
208	328126	1241856
209	329845	1240847
210	331497	1239580
211	333164	1238365
212	334812	1237077
213	336606	1236319
214	338579	1236209
215	340608	1236284
216	342419	1235552
217	344040	1234128
218	345774	1233105
219	347653	1232590
220	349600	1232302
221	351278	1231055
222	352765	1229142
223	354473	1227997
224	356263	1227129
225	357866	1225615
226	359558	1224399
227	361168	1222905
228	362815	1221531
229	364919	1221685
230	366725	1220832
231	368454	1219711
232	370051	1218152
233	371477	1216034
234	372999	1214232
235	374471	1212270
236	375816	1209908
237	377185	1207628
238	378537	1205301
239	380033	1203440
240	381357	1201039
241	382691	1198677
242	384032	1196348
243	385397	1194099
244	386833	1192078
245	388338	1190274
246	389926	1188723
247	391361	1186707
248	392831	1184805
249	394299	1182897
250	395647	1180638
251	397113	1178734
252	398501	1176604
253	399881	1174454
254	401243	1172261
255	402659	1170229
256	404116	1168321
257	405529	1166291
258	407009	1164457
259	408393	1162349
260	409828	1160396
261	411202	1158272
262	412683	1156455
263	414239	1154850
264	415711	1153010
265	417188	1151189
266	418700	1149465
